trial,Demo_error,OBS_error,Demo_time,OBS_time,Demo_efficiency,OBS_efficiency
1,6.928571428571,6.785714285714,613.583571428571,464.855714285714,61.425888579674,43.626502964195
2,5.142857142857,8.785714285714,324.226428571429,380.269285714286,37.705654452690,30.023306853924
3,6.285714285714,6.785714285714,391.825714285714,312.297857142857,36.719068149871,27.875061178318
4,5.857142857143,4.642857142857,415.927857142857,200.213571428571,37.752445887446,22.664324485039
5,4.571428571429,4.500000000000,295.714285714286,159.785714285714,32.325391671820,18.810098433313
6,5.071428571429,5.357142857143,317.785714285714,184.071428571429,35.037074700662,19.488781853068
7,4.500000000000,3.714285714286,547.071428571429,170.000000000000,43.445280612245,22.274536178108
8,4.500000000000,3.571428571429,195.857142857143,125.928571428571,23.130921188252,16.732461189604
9,4.142857142857,4.000000000000,276.142857142857,153.285714285714,38.455630146796,17.408241758242
10,4.428571428571,5.428571428571,306.785714285714,164.071428571429,34.774971655329,17.432127396413
11,3.785714285714,4.714285714286,308.928571428571,140.785714285714,33.220774463632,15.505310364239
12,3.928571428571,4.071428571429,148.428571428571,129.857142857143,19.743534838178,16.078324056896
13,4.357142857143,3.000000000000,157.428571428571,84.000000000000,19.071352258852,11.607227891157
14,3.500000000000,3.714285714286,258.785714285714,102.571428571429,33.693583797155,12.974080086580
15,4.785714285714,2.642857142857,168.714285714286,68.071428571429,19.505261603476,9.597564935065
16,2.857142857143,3.500000000000,120.428571428571,90.071428571429,17.649149659864,12.039654195011
17,3.500000000000,3.428571428571,140.357142857143,91.000000000000,18.256214024071,12.202388682746
18,2.642857142857,3.285714285714,117.214285714286,87.000000000000,17.594387755102,12.106264172336
19,2.714285714286,3.428571428571,109.357142857143,81.000000000000,16.238690476191,10.069642857143
20,3.285714285714,2.642857142857,151.928571428571,57.785714285714,19.602976190476,8.679421768707
21,2.785714285714,3.000000000000,113.214285714286,73.357142857143,16.209608843537,10.238664311879
22,2.571428571429,2.285714285714,105.785714285714,60.071428571429,15.558248299320,9.209297052154
23,3.214285714286,2.071428571429,119.428571428571,64.071428571429,17.225154607298,9.893707482993
24,2.500000000000,2.071428571429,112.571428571429,51.071428571429,16.851687598116,8.428246753247
25,1.785714285714,3.142857142857,85.285714285714,79.285714285714,13.786394557823,10.644823232323
26,4.214285714286,1.928571428571,151.642857142857,56.357142857143,17.149713569638,9.245153061224
27,2.142857142857,2.428571428571,90.428571428571,69.428571428571,14.737670068027,9.728664192950
28,2.071428571429,1.571428571429,87.500000000000,44.571428571429,13.871088435374,7.482057823129
29,2.785714285714,2.214285714286,106.500000000000,59.928571428571,15.507312925170,9.121258503401
30,2.285714285714,1.571428571429,99.285714285714,48.071428571429,15.612100994244,8.463605442177