ID,Condition,5th
Cage1,Demonstrator,1.055555556
Cage2,Demonstrator,1.083333333
Cage3,Demonstrator,1.60218254
Cage4,Demonstrator,1.17779304
Cage5,Demonstrator,1.089285714
Cage6,Demonstrator,0.9666666667
Cage7,Demonstrator,1.44005848
Cage8,Demonstrator,1.174603175
Cage9,Demonstrator,1.336904762
Cage10,Demonstrator,1.25515873
Cage11,Demonstrator,1.204761905
Cage12,Demonstrator,1.383333333
Cage13,Demonstrator,1.345833333
Cage14,Demonstrator,1.189880952
Cage1,Observer,0.8062169312
Cage2,Observer,1.03531746
Cage3,Observer,0.8821969697
Cage4,Observer,1.208333333
Cage5,Observer,0.8388167388
Cage6,Observer,1.206613757
Cage7,Observer,0.8032407407
Cage8,Observer,1.261574074
Cage9,Observer,1.085714286
Cage10,Observer,0.7619047619
Cage11,Observer,0.2619047619
Cage12,Observer,0.1989417989
Cage13,Observer,0.6165223665
Cage14,Observer,0.2988095238
Cage15,Individual,1.247619048
Cage15,Individual,1.415638528
Cage16,Individual,1.758531746
Cage16,Individual,1.351388889
Cage17,Individual,1.265873016
Cage17,Individual,1.272486772
Cage18,Individual,2.092063492
Cage18,Individual,1.439285714
Cage19,Individual,1.22718254
Cage19,Individual,0.9296296296
Cage20,Individual,1.264285714
Cage20,Individual,0.831547619
Cage21,Individual,1.418650794
Cage21,Individual,0.6630952381
Cage22,Waiting,1.540674603
Cage22,Waiting,1.191071429
Cage23,Waiting,1.332539683
Cage23,Waiting,1.460912698
Cage24,Waiting,1.413690476
Cage24,Waiting,1.20874183
Cage25,Waiting,1.472222222
Cage25,Waiting,1.48015873
Cage26,Waiting,1.046031746
Cage26,Waiting,1.43042328
Cage27,Waiting,1.118253968
Cage27,Waiting,2.045238095
Cage28,Waiting,1.233730159
Cage28,Waiting,1.053174603